transaction_id,payment_time,payer_id,payee_id,payment_amount,payment_currency,payment_method,payment_purpose,vendor_id,payee_country,vendor_country,vendor_industry,approval_status,reject_reason
066dd01a-301a-4290-8a64-b46b6c2631cd,32:32.2,COMP0022,PAYEE0188,1312.48,JPY,Credit Card,IT Support,VEND0277,Japan,USA,Cryptocurrency Trading,APPROVED,
22b45b40-aba1-4e9d-aff9-2d081539c730,44:32.2,COMP0026,PAYEE0164,886.67,GBP,ACH,Travel Expenses,VEND0265,China,Australia,Technology,APPROVED,
54bf61a2-103a-40dd-a152-c2cd26c357d0,05:32.2,COMP0039,PAYEE0286,1177.67,EUR,Wire,Unusual Transfer - Review Required,VEND0351,France,Australia,Education,APPROVED,
bdb853ea-b3eb-4849-a7ef-69fee27fe828,47:32.2,COMP0088,PAYEE0370,306.36,USD,Check,Cloud Hosting,VEND0299,Canada,Canada,Arms Dealing,APPROVED,
a46f08a2-a398-4e39-b085-b3289a5d68af,01:32.2,COMP0079,PAYEE0009,613.2,GBP,Bank Transfer,Travel Expenses,VEND0011,UK,Canada,Real Estate,APPROVED,
984344c4-c007-494a-a2d3-73f6f572e6ac,42:32.2,COMP0004,PAYEE0054,806.92,GBP,Bank Transfer,Utilities,VEND0301,USA,Australia,Cannabis Industry,APPROVED,
b0a97fc0-8587-438e-8c45-107a8395c3e2,24:32.2,COMP0092,PAYEE0039,1151.85,EUR,Wire,Utilities,VEND0045,UK,Australia,Cryptocurrency Trading,APPROVED,
c19cfb3c-0f99-4851-a3fb-4900810a249f,29:32.2,COMP0054,PAYEE0481,1329.17,GBP,Check,Utilities,VEND0106,Canada,Canada,Technology,APPROVED,
8c3789e7-97d2-4ec8-b08a-bc7615512241,46:32.2,COMP0037,PAYEE0435,1765.34,EUR,ACH,IT Support,VEND0220,France,Canada,Manufacturing,APPROVED,
5103526b-8644-4dfc-a17d-2f010464e674,46:32.2,COMP0010,PAYEE0271,121.7,JPY,Credit Card,Office Supplies,VEND0433,Australia,UK,Manufacturing,APPROVED,
3b2cf081-ac0d-44a1-a0e2-c68da7d1660c,37:32.2,COMP0079,PAYEE0218,271.53,EUR,Check,Professional Development,VEND0335,France,Japan,Arms Dealing,APPROVED,
b9f06f4c-b6e9-4459-8a9e-058c6626fa1e,21:32.2,COMP0091,PAYEE0159,1262.26,EUR,Wire,Rent Payment,VEND0030,Japan,Australia,Shell Corporations,APPROVED,
206d60ff-d226-4f12-a658-412f349da85c,01:32.2,COMP0033,PAYEE0351,988.87,USD,Check,Maintenance Services,VEND0025,China,Japan,Energy,APPROVED,
5d2bace9-9f8b-4e5d-aff8-c8ce6ca99664,45:32.2,COMP0053,PAYEE0269,1438.48,GBP,Wire,Unusual Transfer - Review Required,VEND0246,Brazil,UK,Technology,APPROVED,
148ebf49-ee4b-40b8-a4ef-3303049a6396,08:32.2,COMP0046,PAYEE0399,1635.32,CAD,Credit Card,Unusual Transfer - Review Required,VEND0261,Australia,Canada,Art & Antiques Dealers,APPROVED,
67225074-a43c-47f4-8e60-923cd5c2e1f6,55:32.2,COMP0092,PAYEE0246,897.53,CAD,Check,Consulting Services,VEND0156,China,USA,Manufacturing,APPROVED,
30c0d316-c1d9-4628-8c1d-2020512bdf02,09:32.2,COMP0056,PAYEE0244,887.19,GBP,ACH,Professional Development,VEND0058,France,Japan,Shell Corporations,APPROVED,
fce9529f-df05-43b3-ba99-0295471940da,07:32.2,COMP0051,PAYEE0222,1084.18,JPY,Wire,Software License,VEND0469,USA,Canada,Online Gambling,APPROVED,
155b586e-48d8-450c-a6e9-166be352a3f7,12:32.2,COMP0004,PAYEE0312,1408.63,USD,ACH,IT Support,VEND0393,UK,Canada,Art & Antiques Dealers,APPROVED,
48ce8f6e-b40d-42bb-93da-d2e0d9bf0ded,24:32.2,COMP0018,PAYEE0399,41.34,USD,ACH,Maintenance Services,VEND0336,UK,France,Education,APPROVED,
43ffb994-f2c0-45b6-bfd6-e3f58950c8e5,30:32.2,COMP0033,PAYEE0386,1631.6,GBP,Credit Card,Utilities,VEND0078,UK,India,Energy,APPROVED,
42ed1689-a3ab-427d-8fb0-c584f96fb551,47:32.2,COMP0012,PAYEE0357,798.27,EUR,Check,Maintenance Services,VEND0204,Germany,USA,Shell Corporations,APPROVED,
22b92bb5-eb4a-42e7-8449-233ad26c42ff,24:32.2,COMP0085,PAYEE0052,1835.33,EUR,Check,Research & Development,VEND0461,Japan,Australia,Shell Corporations,APPROVED,
8727e4b9-7426-468c-87fe-7b186e96a648,56:32.2,COMP0021,PAYEE0129,428.21,USD,Credit Card,Cloud Hosting,VEND0140,Germany,Japan,Education,APPROVED,
491872ce-185f-48e7-a97d-67cf7e18e91d,13:32.2,COMP0068,PAYEE0094,1491.85,JPY,Wire,Travel Expenses,VEND0169,Germany,Canada,Technology,APPROVED,
161dd7c5-2303-4896-b00f-4ae02292a882,53:32.2,COMP0051,PAYEE0251,642.55,GBP,Credit Card,Professional Development,VEND0318,USA,Canada,Offshore Banking,APPROVED,
9be19fb1-a2c1-43c3-aea7-46be99e7ac14,12:32.2,COMP0075,PAYEE0494,60.27,GBP,Check,Unusual Transfer - Review Required,VEND0336,Canada,China,Technology,APPROVED,
35a546b8-7590-4a86-8569-65971c1e2b67,01:32.2,COMP0033,PAYEE0201,2093.97,JPY,ACH,Rent Payment,VEND0087,USA,China,Adult Entertainment,APPROVED,
b0d5a8a0-ccf9-4e1b-b302-71585269ca14,27:32.2,COMP0035,PAYEE0490,549.2,CAD,Check,Research & Development,VEND0001,UK,Japan,Precious Metals Trading,APPROVED,
12017458-5827-4f83-8374-404546d149c3,19:32.2,COMP0078,PAYEE0445,742.5,EUR,Wire,Utilities,VEND0025,Australia,UK,Arms Dealing,APPROVED,
2cba6def-a5f9-4ef8-b20b-5640fdaad88e,51:32.2,COMP0047,PAYEE0292,293.47,JPY,Bank Transfer,Cloud Hosting,VEND0366,France,Germany,Shell Corporations,APPROVED,
2e5a34fd-2df0-43a2-882a-d562ced63377,42:32.2,COMP0020,PAYEE0223,295.55,GBP,Credit Card,Office Supplies,VEND0478,Brazil,USA,Education,APPROVED,
b1e76ff1-a995-4191-905a-45bccec78c4b,55:32.2,COMP0067,PAYEE0435,763.22,USD,ACH,Rent Payment,VEND0325,France,India,Logistics,APPROVED,
1b8fa946-c63c-4aa6-90fa-2114b188a193,31:32.2,COMP0024,PAYEE0045,1259.39,USD,ACH,Cloud Hosting,VEND0287,USA,Australia,Energy,APPROVED,
a964366b-188a-4533-afd4-d415be0e5cd7,56:32.2,COMP0019,PAYEE0023,671.96,EUR,Check,Rent Payment,VEND0199,UK,Canada,Precious Metals Trading,APPROVED,
fb861f3e-7554-45bd-86c5-12f1ff565b50,49:32.2,COMP0073,PAYEE0044,305.66,USD,Check,Professional Development,VEND0366,Canada,Germany,Precious Metals Trading,APPROVED,
9d09b848-4724-4602-84e2-c154e68d57ce,33:32.2,COMP0049,PAYEE0064,380.81,EUR,Credit Card,Marketing Campaign,VEND0229,Australia,France,Cannabis Industry,APPROVED,
3ab0da40-364f-454e-ae63-ab2e8b8daf33,16:32.2,COMP0037,PAYEE0076,821.47,USD,Bank Transfer,Maintenance Services,VEND0257,India,Canada,Real Estate,APPROVED,
03e7f39a-2b01-4058-8047-e36f72e2f132,28:32.2,COMP0093,PAYEE0297,268.73,CAD,Wire,Office Supplies,VEND0478,UK,USA,Adult Entertainment,APPROVED,
ce7b1700-6a5b-4a93-b4ce-fc3b212a67de,28:32.2,COMP0088,PAYEE0339,1755.51,CAD,Credit Card,Legal Fees,VEND0476,China,Japan,Offshore Banking,APPROVED,
ced6bfc6-00a3-4862-9bb9-09e99dbe0120,17:32.2,COMP0035,PAYEE0449,610.63,GBP,Bank Transfer,Consulting Services,VEND0440,Australia,UK,Logistics,APPROVED,
d7556876-5153-476e-a4d6-868b5d618c15,47:32.2,COMP0028,PAYEE0407,440.87,EUR,Credit Card,Rent Payment,VEND0130,Canada,USA,Art & Antiques Dealers,APPROVED,
6d7729e6-9b23-458d-84a2-d3d8a4f4adb3,37:32.2,COMP0035,PAYEE0386,2138.83,GBP,ACH,Office Supplies,VEND0048,UK,UK,Automotive,APPROVED,
2fed8b3e-77a6-4469-8b88-5c51a4b2c7e2,38:32.2,COMP0083,PAYEE0348,2106.11,USD,Wire,Travel Expenses,VEND0472,Canada,Australia,Precious Metals Trading,APPROVED,
c998759b-34d6-41b0-8903-542fdafb4fca,18:32.2,COMP0025,PAYEE0354,871.98,GBP,Bank Transfer,Software License,VEND0047,Canada,USA,Manufacturing,APPROVED,
cc5e782e-0c1f-4dc0-8f8b-5994b495f9de,45:32.2,COMP0050,PAYEE0230,464.23,JPY,Credit Card,Consulting Services,VEND0486,Australia,France,Precious Metals Trading,APPROVED,
aea52863-8ff9-431d-89f0-831e650874fb,25:32.2,COMP0032,PAYEE0243,1120.28,USD,ACH,Payroll,VEND0342,USA,France,Precious Metals Trading,APPROVED,
5a8b68a3-36a1-4893-b5a8-173f0f89582b,58:32.2,COMP0075,PAYEE0145,490.41,EUR,Check,Research & Development,VEND0152,Germany,Australia,Offshore Banking,APPROVED,
53ccdc05-cf08-416a-b2f3-fe04e40fae17,00:32.2,COMP0029,PAYEE0337,1198.44,CAD,Credit Card,Software License,VEND0030,Australia,Canada,Retail,APPROVED,
eccd20d6-236b-4718-a00d-52315434e402,03:32.2,COMP0048,PAYEE0038,410.21,USD,Bank Transfer,IT Support,VEND0181,Canada,Australia,Offshore Banking,APPROVED,
3836362a-21eb-4376-a978-59d05b8d7899,40:32.2,COMP0075,PAYEE0231,1502.98,EUR,ACH,Marketing Campaign,VEND0127,Brazil,India,Education,APPROVED,
926fa716-1eab-4341-b81a-bd9797447b59,07:32.2,COMP0046,PAYEE0201,1256.39,JPY,Bank Transfer,Rent Payment,VEND0277,USA,China,Cannabis Industry,APPROVED,
d37a408a-e740-440c-8447-00ba3937b2a6,37:32.2,COMP0077,PAYEE0487,516.97,JPY,ACH,Consulting Services,VEND0411,Germany,India,Arms Dealing,APPROVED,
efb10ca7-1a5c-4d36-a117-0ce0f33c7e00,50:32.2,COMP0020,PAYEE0336,1064.43,CAD,Check,Consulting Services,VEND0102,France,Japan,Technology,APPROVED,
6b7c9296-e915-4623-90eb-89fe3ed13642,31:32.2,COMP0094,PAYEE0235,1415.77,EUR,Credit Card,Legal Fees,VEND0441,Japan,Germany,Arms Dealing,APPROVED,
b6f29e9e-d0a7-4b43-9415-77f2035a206c,10:32.2,COMP0060,PAYEE0299,532.32,GBP,Check,Rent Payment,VEND0280,Brazil,USA,Logistics,APPROVED,
e3abd6da-4d86-4b67-86cb-2f6b37d3b49b,43:32.2,COMP0063,PAYEE0213,1611.73,CAD,Credit Card,Office Supplies,VEND0218,India,Japan,Healthcare,APPROVED,
54302301-b879-4bae-9f60-81e9923c38fb,09:32.2,COMP0064,PAYEE0122,1547.91,USD,Wire,Consulting Services,VEND0432,India,UK,Real Estate,APPROVED,
4590bf58-3ba5-459a-b77b-1007b72740e9,57:32.2,COMP0093,PAYEE0402,1585.03,GBP,Credit Card,Marketing Campaign,VEND0158,France,Japan,Cannabis Industry,APPROVED,
1f75b392-19f6-4f7a-afdf-a9a1fa1c9d1a,14:32.2,COMP0055,PAYEE0097,521.58,GBP,Credit Card,Cloud Hosting,VEND0450,UK,Brazil,Art & Antiques Dealers,APPROVED,
2b461679-c702-4616-92e1-abd7790d7cc6,50:32.2,COMP0058,PAYEE0218,1140.37,EUR,Bank Transfer,Utilities,VEND0315,France,France,Education,APPROVED,
5e3a9e50-bcca-4799-9f3a-159f0cad9b66,06:32.2,COMP0076,PAYEE0398,489.68,USD,ACH,IT Support,VEND0396,China,India,Real Estate,APPROVED,
eb8e14f8-20e7-4e04-a21d-b56efa7915cb,56:32.2,COMP0036,PAYEE0162,166.77,EUR,Check,Cloud Hosting,VEND0039,Australia,China,Logistics,APPROVED,
c57a2d81-03ae-4643-8100-dbbcd109f3d4,38:32.2,COMP0055,PAYEE0125,1759.56,EUR,Wire,Consulting Services,VEND0417,India,India,Art & Antiques Dealers,APPROVED,
ab6e4ace-9624-4bf6-9463-7d1503381f56,52:32.2,COMP0024,PAYEE0170,1261.25,EUR,Bank Transfer,Maintenance Services,VEND0200,China,India,Cryptocurrency Trading,APPROVED,
e4ad99d0-2398-4ea2-8b4f-98f66e10fa06,52:32.2,COMP0021,PAYEE0315,1609.99,USD,ACH,Payroll,VEND0142,India,Brazil,Cannabis Industry,APPROVED,
e7e8ff1e-2798-4204-808d-1ba70dbdf550,50:32.2,COMP0006,PAYEE0455,472.59,GBP,Wire,Payroll,VEND0109,India,USA,Cryptocurrency Trading,APPROVED,
8e6e686a-49c6-431f-9eaf-ced3636fab36,56:32.2,COMP0080,PAYEE0483,1164.59,EUR,Bank Transfer,Cloud Hosting,VEND0033,Germany,China,Manufacturing,APPROVED,
dedf2c74-bc16-47b7-a748-ac24afa4e685,30:32.2,COMP0023,PAYEE0147,405.41,EUR,Wire,Unusual Transfer - Review Required,VEND0096,Canada,France,Art & Antiques Dealers,APPROVED,
50bd6662-c097-49fe-842c-880c7720d262,59:32.2,COMP0053,PAYEE0291,800.01,JPY,Wire,Consulting Services,VEND0092,Canada,Japan,Finance,APPROVED,
bb5270be-192d-4ca8-9617-d4883b477bb7,24:32.2,COMP0045,PAYEE0162,907.15,CAD,Bank Transfer,Unusual Transfer - Review Required,VEND0118,Brazil,Australia,Education,APPROVED,
c9f64b74-f686-43a5-9510-f696153a46c9,13:32.2,COMP0078,PAYEE0450,605.98,CAD,ACH,Travel Expenses,VEND0157,India,UK,Precious Metals Trading,APPROVED,
89058076-d0e6-474f-855c-fc9d9768e2a7,58:32.2,COMP0093,PAYEE0407,1406.58,JPY,ACH,Payroll,VEND0287,Canada,Brazil,Logistics,APPROVED,
2ed21507-a8dd-4fb7-b1f4-09ad8fcc8b5b,55:32.2,COMP0005,PAYEE0265,130.93,GBP,Bank Transfer,Professional Development,VEND0433,USA,Japan,Offshore Banking,APPROVED,
28d51489-7486-4e23-be8e-e57afaabe235,42:32.2,COMP0016,PAYEE0408,609.05,JPY,Wire,Professional Development,VEND0185,Brazil,Japan,Shell Corporations,APPROVED,
5d99af19-5511-4202-a479-f28f5d30006c,42:32.2,COMP0044,PAYEE0074,155.41,CAD,Credit Card,Maintenance Services,VEND0470,Australia,Australia,Real Estate,APPROVED,
0590cea2-671f-471b-a26f-c7d26a699eef,03:32.2,COMP0086,PAYEE0139,1374.12,USD,Check,Maintenance Services,VEND0154,UK,Japan,Technology,APPROVED,
7cb87020-1bd9-4bef-860a-c107608491dc,39:32.2,COMP0040,PAYEE0081,1815.21,CAD,ACH,Software License,VEND0141,France,Australia,Real Estate,APPROVED,
d9e4281b-dfc6-4fd7-9434-cdbeb2df7a48,31:32.2,COMP0075,PAYEE0372,1131.91,GBP,Wire,Research & Development,VEND0439,Brazil,UK,Offshore Banking,APPROVED,
37e0dd55-b490-488c-90c6-d304336f8955,41:32.2,COMP0043,PAYEE0392,2019.34,USD,ACH,Unusual Transfer - Review Required,VEND0040,Canada,France,Arms Dealing,APPROVED,
bb6f77bd-b947-462a-9686-ee6305d5d3b6,02:32.2,COMP0039,PAYEE0401,745.88,GBP,Wire,Research & Development,VEND0416,USA,Brazil,Manufacturing,APPROVED,
6917f2d3-550f-4fab-b6a6-dec64e5e6aad,42:32.2,COMP0053,PAYEE0278,871.86,EUR,Credit Card,Payroll,VEND0350,China,Japan,Automotive,APPROVED,
e2c2db9b-9769-4752-be73-cd9e05dc9a93,56:32.2,COMP0077,PAYEE0471,411.8,USD,Credit Card,Consulting Services,VEND0117,UK,China,Education,APPROVED,
8f885dee-eedc-4c2a-8f33-c6b734b37c3f,04:32.2,COMP0079,PAYEE0085,1493.53,JPY,ACH,Office Supplies,VEND0393,Germany,USA,Retail,APPROVED,
779fd66c-a536-44ea-b94b-46f656bbd7d4,50:32.2,COMP0017,PAYEE0427,129.69,GBP,Check,Maintenance Services,VEND0085,Australia,France,Education,APPROVED,
40b6b0e6-306f-4434-8179-a0d8dc1db67f,04:32.2,COMP0012,PAYEE0290,317.43,EUR,Check,Consulting Services,VEND0234,USA,Japan,Art & Antiques Dealers,APPROVED,
85bde444-2194-4910-9f5c-d6ad2aee13a4,34:32.2,COMP0010,PAYEE0184,501.79,JPY,Check,Consulting Services,VEND0296,UK,Canada,Retail,APPROVED,
ddc37c59-67d1-4a41-9744-4f5ce39ee211,28:32.2,COMP0066,PAYEE0099,593.96,GBP,Wire,Cloud Hosting,VEND0012,Brazil,Canada,Cryptocurrency Trading,APPROVED,
3b2a9fd2-7fe6-4ed8-8a6c-9b31afd9fc47,08:32.2,COMP0058,PAYEE0344,1149.03,GBP,Bank Transfer,Travel Expenses,VEND0332,France,USA,Healthcare,APPROVED,
cec06c20-0a42-46c4-9a76-00dad3edaeb6,03:32.2,COMP0056,PAYEE0300,563.63,CAD,Wire,Utilities,VEND0214,France,France,Energy,APPROVED,
a10ce1d6-b467-4b4f-8e8d-b06789e3a12e,40:32.2,COMP0096,PAYEE0480,598.96,EUR,Check,Cloud Hosting,VEND0121,USA,Japan,Offshore Banking,APPROVED,
748471b3-9ff3-4cfe-8e7e-e08945ede91d,00:32.2,COMP0021,PAYEE0055,649.36,GBP,Wire,Office Supplies,VEND0132,USA,Germany,Cannabis Industry,APPROVED,
9fccedd5-74ba-4d83-b822-b9daf310f8ad,33:32.2,COMP0038,PAYEE0291,1714,GBP,Check,Cloud Hosting,VEND0192,Canada,Japan,Healthcare,APPROVED,
